source_key,path,exists
current_pool,outputs/stimulus_selection/04_mix_selection_v2/tables/acoustic_candidate_pool.csv,True
current_pairwise,outputs/stimulus_selection/04_mix_selection_v2/tables/pairwise_distances_v2.csv,True
current_features,outputs/stimulus_selection/04_mix_selection_v2/tables/processed_features_v2.csv,True
current_ratings,outputs/stimulus_selection/05_ratings_integration/tables/mix_preference_rating_summary_within_song.csv,True
six_proposals,outputs/stimulus_selection/09_six_mix_proposals/tables/six_mix_proposals.csv,True
six_pairwise,outputs/stimulus_selection/09_six_mix_proposals/tables/six_mix_pairwise_distances.csv,True
six_qc,outputs/stimulus_selection/09_six_mix_proposals/qc/six_mix_technical_qc.csv,True
six_audio,outputs/stimulus_selection/09_six_mix_proposals/tables/six_mix_audio_manifest.csv,True
six_alignment,outputs/stimulus_selection/09_six_mix_proposals/alignment_review/six_mix_alignment_summary.csv,True
perceptual_status,outputs/stimulus_selection/07_perceptual_review/PERCEPTUAL_REVIEW_STATUS.md,True
rtb_review,outputs/stimulus_selection/09_six_mix_proposals/reports/final_alignment_and_red_to_blue_review.md,True
backup_pool,outputs/stimulus_selection/08_backup_song_expansion/04_acoustic_candidate_pools/tables/acoustic_candidate_pool_backup.csv,True
backup_pairwise,outputs/stimulus_selection/08_backup_song_expansion/04_acoustic_candidate_pools/tables/pairwise_distances_backup.csv,True
backup_features,outputs/stimulus_selection/08_backup_song_expansion/04_acoustic_candidate_pools/tables/processed_features_backup.csv,True
backup_ratings,outputs/stimulus_selection/08_backup_song_expansion/05_ratings_integration/tables/mix_preference_rating_summary_within_song_backup.csv,True
backup_review,outputs/stimulus_selection/08_backup_song_expansion/08_supervisor_review_package/tables/mix_level_summary_backup.csv,True
backup_alignment,outputs/stimulus_selection/08_backup_song_expansion/08_supervisor_review_package/tables/alignment_summary_backup.csv,True
backup_pairwise_alignment,outputs/stimulus_selection/08_backup_song_expansion/08_supervisor_review_package/tables/pairwise_alignment_verification_backup.csv,True
